Pleb_Rank,Betweenness_Rank,Eigenvector_Rank,PageRank,Weighted_Degree_Rank,Channels_Rank,Capacity_Rank,alias,Node_Type,Total_Capacity,Num_Channels,Public_Key
105,353,153,186,159,162,40,OneKey,"Wallet, Exchange",44.6 bitcoin,76.0,0378a5312ca36773971df43f833b571d024fd7d5d216fbdf7e241b710714ef1be1
106,96,333,109,100,105,311,CHILLYCALENDAR,,3.3 bitcoin,113.0,025124c73ef7ecf527e0114ead02a0cc6e3ecbc0c99474ee3f5506c4503b089693
107,448,97,142,130,139,110,betheball,,12.4 bitcoin,87.0,021f98b9898720f8633c93faf0aa54ab399d277464e502d1111b233c2cf4064828
108,403,93,144,134,146,152,RecklessApotheosis,,8.6 bitcoin,83.0,03c72f89b660de43fc5c77ef879cbf7846601af88befb80e436242909b14fd0495
109,200,181,155,155,165,218,slicksparks.ky,,5.2 bitcoin,75.0,03a01da97af71f7859cd1b2b6a70f221ecd49f6eabf0bf1e267bae9570b47232a6
110,337,164,140,122,134,195,Authenticity,,6.3 bitcoin,90.0,026f46207fd290a33cbd86e29b3ad0a47cdd44ab9aa5267cde66483e10aa9d3180
111,29,507,51,88,64,353,Lightning.Watch,,2.7 bitcoin,163.0,03e691f81f08c56fa876cc4ef5c9e8b727bd682cf35605be25d48607a802526053
112,470,128,165,153,140,56,cwallet.com,"Wallet, Exchange",31.7 bitcoin,86.0,0371ccb71e3838984f6903b40b76581c4fceda54e22cb9c6a7d20681c036de0571
113,83,478,87,135,150,183,Fold,,6.9 bitcoin,80.0,02816caed43171d3c9854e3b0ab2cf0c42be086ff1bd4005acc2a5f7db70d83774
114,541,127,125,113,123,99,BCash_Is_Trash,,14.3 bitcoin,98.0,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f
115,185,149,231,209,232,131,tka.jp,,10.2 bitcoin,56.0,032d5a4b5a6a344ca15f6284e3e149f4716a1af782ffbb0194e0dadc077051acf0
116,588,86,118,107,119,126,rockshouse,,10.5 bitcoin,100.0,031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7
117,137,282,141,123,117,356,🛡 Don Quixote Bank 🚩,,2.7 bitcoin,101.0,02ba54585837609251865ba9835a32fbeb07f96abc20767dedaafeb17a2e5b8acf
118,215,230,214,222,132,153,ln1.generalbytes.com,,8.6 bitcoin,91.0,02254f26976d6487f7664aa941e006642ac3f3974d20c19f4117069e5803418dbe
119,104,289,133,132,124,392,Eprahs,,2.4 bitcoin,98.0,0208d92b2d406094d794b2a6a512f585dbbdee810a870283b9c5bafc4fec8ac0aa
120,379,122,187,189,210,100,Neutronpay.com,"Wallet, Payment",13.8 bitcoin,62.0,02c73c8ac3f37bb28d9fc3819dc17baecdf24b137d476a2a9e22395d490d842bec
121,369,151,143,129,137,260,U got IT,,4.2 bitcoin,88.0,03627ebe50fc6eb80b0caab0c3714958c701eda735e3c29588e83150d6d4a93976
122,239,268,150,145,154,240,Hermes⚡Conrad,,4.6 bitcoin,79.0,039bd8fd26d4ae06c627af860b271f0cc896153ea87accedfb5b2ed20bfddd7f3b
123,115,280,128,128,130,422,AgX🗲,,2.2 bitcoin,94.0,02058a29920854e5088ade34a0f89ca9c89464d6d6595c2942eb13047580a1192b
