Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
118,188,567,358,83,126,Privacy is not a Crime🐧,,Only Tor,1.9 bitcoin,24,026d665c34210fd99f9d4be36bcfbd7d637ae890631274d1f82cbf45af8cd8b2c6
166,506,290,263,145,127,i'llTryAnythingOnce,,Only Tor,1.8 bitcoin,15,020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217
69,70,317,272,70,128,WCC-BOUNCER,,Only Tor,1.8 bitcoin,28,02f4c77dcf12255ccf705c18b8d6b95e4f884910bf61e8aa21242607193a79da1b
104,369,287,217,104,129,Kazumyon,,Only Tor,1.8 bitcoin,21,039cdd937f8d83fb2f78c8d7ddc92ae28c9dbb5c4827181cfc80df60dee1b7bf19
390,665,840,824,343,130,Brrrrrak,,Only Clearnet,1.7 bitcoin,7,03ec512342aeee370b53d9fd12dbd5283dcd670d248018b3a1cf537313e76e6a2d
466,490,673,420,262,131,Bitnob,"LSP, Exchange, Payment",Only Tor,1.7 bitcoin,9,020d06a56bcc6428b48b02c8e514b73c4bddceba844570abda2bcc46bc474425ab
337,282,357,405,262,132,BitcoinJungleCR,,Only Tor,1.7 bitcoin,9,03797da684da0b6de8a813f9d7ebb0412c5d7504619b3fa5255861b991a7f86960
166,171,230,269,159,133,tuganode⚡,,Only Tor,1.7 bitcoin,14,038c85a08bf4e0576780f9212a6b309314f1050266359da138f0a34a9c0d139883
6,5,11,18,27,134,CoinGate,Payment,Only Clearnet,1.7 bitcoin,56,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3
90,180,268,249,90,135,HODLmeTight,,Only Tor,1.7 bitcoin,23,037f66e84e38fc2787d578599dfe1fcb7b71f9de4fb1e453c5ab85c05f5ce8c2e3
63,84,312,223,63,136,CoinPayments,,Only Clearnet,1.7 bitcoin,30,03afa7a8196dbca763ee6f9a34b634a7adc03f154e5d6979fe654db5606b5fb2b1
141,126,257,303,136,137,Orange Sunrise,,Only Tor,1.6 bitcoin,16,037943defcf3068fc5b8a2b821cdd2c4c1b1faa39d6a971b3fd984b9dd291a4817
85,59,198,264,211,138,hodlister_co,,Only Tor,1.6 bitcoin,11,02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6
118,133,199,238,116,139,Imamura,,Only Tor,1.6 bitcoin,19,0284aa8233ee3c0482ecf87c60094cacd15a17feb0bfa59f1898fe91478020eb76
182,162,293,298,176,140,Shire_Society_Federation,,Only Tor,1.5 bitcoin,13,036eb65676a65660e4c1ffd728d88b3d82d027d416fad59867471fe2123de0ab27
14,10,233,257,176,141,Lightning.Watch,,Only Tor,1.5 bitcoin,13,03e691f81f08c56fa876cc4ef5c9e8b727bd682cf35605be25d48607a802526053
297,436,267,334,399,142,PPP,,Only Tor,1.5 bitcoin,6,02fe3bf758f87d9b0cee6bdafa52d04650daea8c48f7178358b130b62e132c6f5f
152,280,232,224,136,143,Rising Tide,,Only Tor,1.5 bitcoin,16,02ebfa30d95e70454a523416654903ae7c511193550b31a542a1d2744541203644
49,46,110,208,73,144,BitKassa LN34961 [LND],,Only Clearnet,1.5 bitcoin,27,0231eccc6510eb2e1c97c8a190d6ea096784aa7c358355442055aac8b20654f932
