Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
258,1531,136,135,245,81,conxole.io,,Only Tor,18.1 bitcoin,55,023b05691b633cb1190453c329795f1b48ecd0f61f9e29c00fb9415022ac6d7a6f
52,174,36,21,56,82,Kazumyon,,Only Tor,17.9 bitcoin,185,039cdd937f8d83fb2f78c8d7ddc92ae28c9dbb5c4827181cfc80df60dee1b7bf19
26,61,111,52,34,83,Moon (paywithmoon.com),Payment,Only Clearnet,17.5 bitcoin,263,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5
867,3027,1237,805,427,84,lndwr2.zaphq.io,,Only Clearnet,16.7 bitcoin,36,02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149
189,214,121,128,170,85,90511edf48b448df8c97c5,,Only Clearnet,16.5 bitcoin,74,0289753f4559770003baec773453f8d1b2dfae3256546891e4cfef3a0bdbaa4f30
81,296,69,31,84,86,pedroLND,,Only Tor,16.4 bitcoin,138,034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be
2555,2793,2945,1466,1225,87,bitz23,,Only Tor,16.4 bitcoin,13,023a89bcaf5d6635434af2665a7ff77cece6bb462b48ab1ee96b522505fdd44d64
151,510,275,158,125,88,IBEX_Ops1,"LSP, Payment",Only Tor,16.3 bitcoin,93,03501a74753e0f6ae270a1e4e2ffbbc37f7a796360e650c1121c18e116b22ac106
116,252,309,123,116,89,IBEX_Routing,"LSP, Payment",Only Tor,16.0 bitcoin,102,03d35779ff612c574b92494d74300ce467e0eb510181a6ae3eb74d8ada891d82aa
50,179,88,26,55,90,i'llTryAnythingOnce,,Only Tor,15.9 bitcoin,190,020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217
395,1564,249,170,245,91,speed1,,Only Clearnet,15.3 bitcoin,55,031df8ea711416b52d33c2f4a9b2a41d82f1da3c7672ffef2c24b0751cbdb75404
469,1681,355,198,252,92,speed2,,Only Clearnet,15.1 bitcoin,54,0282ccffe2f7fd63b0d68528dab9cd6cff8f64733d2d730c3eb8fa81e011da930e
185,613,149,120,191,93,The Continental,,Only Tor,14.9 bitcoin,69,03c157946cc1cd376b929e36006e645fae490b1b1d4156b40db804e01b4bda48cd
83,270,79,45,92,94,Nodelou🐈,,Only Tor,14.4 bitcoin,132,03641a88d80a2a85bbecd770577aca9b5495616e9fef63d66ef2631b7cca1d395d
158,1937,1606,106,165,95,beaverbitcoin.com/TheWall,,Only Clearnet,14.1 bitcoin,75,0203e5b16ebe87b089f22e18752f1f7a66a1bdf77879df8d1c9e8d912dbfb9beb4
92,225,762,146,101,96,Boltz|CLN,Exchange,Only Tor,14.1 bitcoin,124,02d96eadea3d780104449aca5c93461ce67c1564e2e1d73225fa67dd3b997a6018
55,100,389,78,56,97,Voltage,,Only Tor,13.6 bitcoin,185,031f2669adab71548fad4432277a0d90233e3bc07ac29cfb0b3e01bd3fb26cb9fa
1174,2375,2572,650,1145,98,Escher,,Only Clearnet,13.5 bitcoin,14,02b515c74f334dee09821bee299fcbd9668182730c5719b25a8f262b28893198b0
71,318,155,38,80,99,HODLmeTight,,Only Tor,13.5 bitcoin,145,037f66e84e38fc2787d578599dfe1fcb7b71f9de4fb1e453c5ab85c05f5ce8c2e3
71,97,27,39,81,100,Babylon-4a,,Only Clearnet,13.4 bitcoin,141,0340cfadaa3324e0dd176a9969be050114278f93260e1b6333bd2a2a2ea03c64a3
172,165,105,122,191,101,Neutronpay.com,"Wallet, Payment",Only Clearnet,13.4 bitcoin,69,02c73c8ac3f37bb28d9fc3819dc17baecdf24b137d476a2a9e22395d490d842bec
85,377,1827,110,95,102,MerchantConnectHUB,,Only Tor,13.4 bitcoin,129,023e09c43b215bd3dbf483bcb409da3322ea5ea3b046f74698b89ee9ea785dd30a
136,599,682,121,152,103,betheball,,Only Tor,12.8 bitcoin,82,021f98b9898720f8633c93faf0aa54ab399d277464e502d1111b233c2cf4064828
1491,1080,678,514,854,104,Narodowy Bank Polski|NBP,,Only Clearnet,12.8 bitcoin,19,037c0bb263a4fe95f0ed598b50cf51e5732a6bc1c48d1c81c5e89f2442939dffdd
252,738,777,268,235,105,ln.coinos.io,,Only Clearnet,12.7 bitcoin,57,021294fff596e497ad2902cd5f19673e9020953d90625d68c22e91b51a45c032d3
749,849,2733,660,478,106,NoonesProdMainnetNode,,Only Tor,12.4 bitcoin,33,03284287b86a1378fdfa5ab34d7a7528f10bbdfab4c301d34087ca8996aa2571de
189,1791,190,88,197,107,goblin-no.de,,Only Tor,12.3 bitcoin,68,02a0f17d3ddb81b3b0c048956baebdf68468c9d7c8b851e5d26354a64a54cff562
52,116,180,51,61,108,WCC-BOUNCER,,Only Tor,12.0 bitcoin,178,02f4c77dcf12255ccf705c18b8d6b95e4f884910bf61e8aa21242607193a79da1b
118,438,541,76,120,109,Rust-eze (now BoltTrustiC),,Only Tor,11.7 bitcoin,99,03e81689bfd18d0accb28d720ed222209b1a5f2c6825308772beac75b1fe35d491
246,514,205,144,271,110,Blockstream PeerSwap,,Only Tor,11.7 bitcoin,51,02d0e03736cbfc73f3c005bc3770327df0e84bd69bc8e557c279887344deb8bce2
185,1508,203,102,183,111,Tatooine,,Only Tor,11.6 bitcoin,71,03011e480a671ac71dbc3fc3e8fe0db32bb9a10cc4d824663e09557d446ef80679
112,422,251,93,109,112,💸FeesBegone💸,,Only Tor,11.6 bitcoin,109,0367f90e2b448b48f30d4b497c76baa7aeeee68b20083805c231824f3ed2789b69
